circulating_supply,currency,inflation,inflation_total,real_yield,staked_supply,staking_rate,total_supply,yield,timestamp,open,high,low,close,volume,market_cap
805753493,Tezos,0.050967,0.050967,0.02038,567328000,0.7041,805753493,0.07239,2019-08-31,1.07,1.08,1.01,1.04,10847063,687684125
805753499,Tezos,0.05095,0.05095,0.02037,567328000,0.7041,805753499,0.07236,2019-08-30,0.998172,1.07,0.991567,1.06,10015534,703253249
805435054,Tezos,0.050798,0.050798,0.0204,566376000,0.70319,805435054,0.07224,2019-08-27,1.16,1.17,1.12,1.13,8137996,745097752
805115445,Tezos,0.050686,0.050686,0.02049,565088000,0.70187,805115445,0.07222,2019-08-26,1.14,1.18,1.13,1.16,8943795,765358762
805115454,Tezos,0.050512,0.050512,0.02042,565088000,0.70187,805115454,0.07197,2019-08-25,1.15,1.16,1.13,1.14,7996369,754098350
805115460,Tezos,0.050442,0.050442,0.0204,565088000,0.70187,805115460,0.07187,2019-08-24,1.17,1.18,1.12,1.15,9414392,758721110
804765427,Tezos,0.050386,0.050386,0.02044,564344000,0.70125,804765427,0.07185,2019-08-23,1.14,1.2,1.13,1.17,9906828,772431594
804765438,Tezos,0.050343,0.050343,0.02042,564344000,0.70125,804765438,0.07179,2019-08-22,1.12,1.15,1.1,1.14,8824747,752276973
804765447,Tezos,0.050338,0.050338,0.02042,564344000,0.70125,804765447,0.07178,2019-08-21,1.16,1.16,1.1,1.12,11809364,738442909
804442503,Tezos,0.050306,0.050306,0.02024,565520000,0.703,804442503,0.07156,2019-08-20,1.21,1.22,1.16,1.16,6759399,766459768
804442511,Tezos,0.050273,0.050273,0.02022,565520000,0.703,804442511,0.07151,2019-08-19,1.2,1.24,1.2,1.21,7024532,801513726
804442521,Tezos,0.05035,0.05035,0.02025,565520000,0.703,804442521,0.07162,2019-08-18,1.19,1.24,1.18,1.2,5300851,794345202
803794629,Tezos,0.050687,0.050687,0.02043,564680000,0.70252,803794629,0.07215,2019-08-14,1.26,1.28,1.15,1.16,10844927,769123801
803794639,Tezos,0.050866,0.050866,0.0205,564680000,0.70252,803794639,0.07241,2019-08-13,1.36,1.37,1.26,1.26,10432675,829436539
803794652,Tezos,0.050912,0.050912,0.02051,564680000,0.70252,803794652,0.07247,2019-08-12,1.38,1.39,1.36,1.36,8575614,899603980
803474396,Tezos,0.051053,0.051053,0.01989,570040000,0.70947,803474396,0.07196,2019-08-11,1.39,1.41,1.37,1.38,8402166,908558771
803474411,Tezos,0.051078,0.051078,0.0199,570040000,0.70947,803474411,0.07199,2019-08-10,1.43,1.44,1.36,1.39,11888934,919898719
803474424,Tezos,0.051133,0.051133,0.01992,570040000,0.70947,803474424,0.07207,2019-08-09,1.55,1.56,1.37,1.43,23985476,946513275
803213428,Tezos,0.051185,0.051185,0.01983,570744000,0.71058,803213428,0.07203,2019-08-08,1.35,1.73,1.34,1.55,36246315,1023902326
803213438,Tezos,0.051178,0.051178,0.01983,570744000,0.71058,803213438,0.07202,2019-08-07,1.47,1.48,1.35,1.35,11480552,892389418
803213449,Tezos,0.051063,0.051063,0.01979,570744000,0.71058,803213449,0.07186,2019-08-06,1.46,1.6,1.37,1.47,19160485,971497468
802894255,Tezos,0.051016,0.051016,0.01979,570376000,0.7104,802894255,0.07181,2019-08-05,1.44,1.5,1.35,1.46,12705167,964815639
802894268,Tezos,0.050996,0.050996,0.01978,570376000,0.7104,802894268,0.07178,2019-08-04,1.43,1.49,1.4,1.44,9783266,948979104
802894285,Tezos,0.05092,0.05092,0.01975,570376000,0.7104,802894285,0.07168,2019-08-03,1.43,1.46,1.38,1.43,9722877,942911870
802576881,Tezos,0.050716,0.050716,0.01982,568936000,0.70889,802576881,0.07154,2019-08-01,1.27,1.45,1.25,1.4,12828552,927016196
802265028,Tezos,0.050659,0.050659,0.0198,568744000,0.70892,802265028,0.07146,2019-07-31,1.22,1.29,1.21,1.27,11125338,837805544
802265038,Tezos,0.050612,0.050612,0.01978,568744000,0.70892,802265038,0.07139,2019-07-30,1.01,1.27,1,1.22,14364108,806101102
802265047,Tezos,0.050501,0.050501,0.01974,568744000,0.70892,802265047,0.07124,2019-07-29,1.02,1.04,1.01,1.01,5208906,669420206
801947367,Tezos,0.05046,0.05046,0.0197,568728000,0.70918,801947367,0.07115,2019-07-27,1.04,1.06,0.992433,1.02,4429452,670518156
