circulating_supply,currency,inflation,inflation_total,real_yield,staked_supply,staking_rate,timestamp,total_supply,yield,open,high,low,close,volume,market_cap
191721062,Cosmos,0.067407,0.067407,0.0022,185280226,0.9664,2019-12-16T23:25:43.966525,191721062,0.06975,4.49,4.5,4.06,4.08,207850289,777998924
248451792,Cosmos,0.067948,0.067948,0.02119,186385424,0.75019,2019-12-11T14:25:36.223498,248451792,0.09058,3.6,3.84,3.59,3.81,199495756,727362979
248423034,Cosmos,0.067977,0.067977,0.02119,186370145,0.75021,2019-12-10T23:25:49.320221,248423034,0.09061,3.7,3.73,3.55,3.6,207259326,686204619
248376989,Cosmos,0.068022,0.068022,0.02129,186155706,0.74949,2019-12-09T23:26:45.666295,248376989,0.09076,3.95,3.97,3.68,3.71,216632529,706522307
248330794,Cosmos,0.068065,0.068065,0.02111,186545468,0.7512,2019-12-08T23:25:52.130870,248330794,0.09061,3.81,4,3.74,3.95,201085483,752311274
248284445,Cosmos,0.068101,0.068101,0.02117,186404742,0.75077,2019-12-07T23:25:53.299324,248284445,0.09071,3.67,3.88,3.66,3.81,197409951,725664435
248238123,Cosmos,0.068137,0.068137,0.02121,186288580,0.75044,2019-12-06T23:25:44.960744,248238123,0.0908,3.52,3.69,3.51,3.67,182348856,699673035
248191743,Cosmos,0.068174,0.068174,0.02126,186172969,0.75012,2019-12-05T23:25:45.165470,248191743,0.09088,3.59,3.72,3.49,3.53,181266106,673233028
248145316,Cosmos,0.068215,0.068215,0.02066,187495693,0.75559,2019-12-04T23:25:50.267447,248145316,0.09028,3.69,3.74,3.46,3.6,188222589,686314900
248098889,Cosmos,0.06826,0.06826,0.02062,187566578,0.75602,2019-12-03T23:25:55.044720,248098889,0.09029,3.68,3.8,3.65,3.7,144705352,705977051
248052438,Cosmos,0.068303,0.068303,0.02204,184463150,0.74365,2019-12-02T23:26:03.428696,248052438,0.09185,3.79,3.93,3.62,3.68,151160801,702017417
248005884,Cosmos,0.068338,0.068338,0.02199,184566291,0.7442,2019-12-01T23:25:56.248742,248005884,0.09183,3.92,3.93,3.66,3.81,175883739,726017955
247959374,Cosmos,0.068371,0.068371,0.02188,184789509,0.74524,2019-11-30T23:26:09.475562,247959374,0.09174,4.02,4.1,3.83,3.93,160886605,748553792
247912847,Cosmos,0.068388,0.068388,0.02188,184752141,0.74523,2019-11-29T23:25:56.799514,247912847,0.09177,3.69,4.06,3.68,4.01,183110184,765177996
247866371,Cosmos,0.068401,0.068401,0.02201,184462183,0.7442,2019-11-28T23:26:03.714650,247866371,0.09191,3.58,3.79,3.53,3.69,145107303,703065720
247819906,Cosmos,0.068421,0.068421,0.02303,182267123,0.73548,2019-11-27T23:25:49.719751,247819906,0.09303,3.5,3.76,3.31,3.58,179601320,683546815
247773519,Cosmos,0.068443,0.068443,0.02308,182157506,0.73518,2019-11-26T23:26:12.798573,247773519,0.0931,3.41,3.66,3.39,3.51,166612606,669041544
247727022,Cosmos,0.068461,0.068461,0.02301,182276279,0.7358,2019-11-25T23:25:44.198191,247727022,0.09304,3.06,3.53,3,3.41,184025705,650377013
247680533,Cosmos,0.06848,0.06848,0.02334,181557865,0.73303,2019-11-24T23:25:57.766702,247680533,0.09342,3.26,3.27,3.03,3.06,267084994,582795477
247633998,Cosmos,0.068489,0.068489,0.0233,181611021,0.73338,2019-11-23T23:25:52.372421,247633998,0.09339,2.94,3.26,2.87,3.25,235663023,620624399
247587516,Cosmos,0.068505,0.068505,0.02332,181552035,0.73328,2019-11-22T23:25:51.817812,247587516,0.09342,3.2,3.3,2.68,2.94,165875702,561156547
247541038,Cosmos,0.068534,0.068534,0.02346,181240507,0.73216,2019-11-21T23:25:42.823817,247541038,0.09361,3.35,3.43,3.13,3.2,150359200,609810312
