circulating_supply,currency,inflation,inflation_total,real_yield,staked_supply,staking_rate,timestamp,total_supply,yield,open,high,low,close,volume,market_cap
9091762,Dash,0.034214,0.076031,-0.0122,4945000,0.5439,2019-10-09T23:52:34.325766,9091762,0.06291,71.33,74.6,70.81,74.12,232323935,673548176
9085586,Dash,0.03423,0.076066,-0.01214,4936000,0.54328,2019-10-06T08:52:47.208851,9085586,0.06301,70.53,72.11,69.76,70.54,213763280,640641899
9084949,Dash,0.034259,0.076132,-0.01212,4933000,0.54299,2019-10-05T23:52:44.611764,9084949,0.06309,70.06,70.77,68.96,70.59,190166360,640993974
9083234,Dash,0.034239,0.076088,-0.01211,4932000,0.54298,2019-10-04T23:52:38.207876,9083234,0.06306,70.05,71.18,69.2,70.12,197176401,636603527
9081529,Dash,0.034225,0.076056,-0.01213,4933000,0.54319,2019-10-03T23:54:08.287486,9081529,0.06301,70.94,71.28,68.93,70.04,224161131,635744751
9079817,Dash,0.034226,0.076058,-0.01221,4939000,0.54395,2019-10-02T23:52:51.983854,9079817,0.06292,70.55,70.87,69.65,70.86,164619887,643049844
9078121,Dash,0.034213,0.07603,-0.01223,4940000,0.54416,2019-10-01T23:52:56.492781,9078121,0.06287,71.06,72.7,69.87,70.51,214628256,639794753
9070742,Dash,0.034321,0.076269,-0.01231,4940000,0.54461,2019-09-30T23:52:56.729576,9070742,0.06302,69.41,71.96,67.55,71.09,218298028,644490956
9069027,Dash,0.034253,0.076117,-0.01217,4929000,0.5435,2019-09-29T23:52:56.747650,9069027,0.06302,71.84,71.84,68.05,69.44,187343276,629405017
9067334,Dash,0.034324,0.076276,-0.01226,4934000,0.54415,2019-09-28T23:52:43.159298,9067334,0.06308,71.95,72.36,70.92,71.85,212554942,651170189
9065631,Dash,0.034288,0.076196,-0.01202,4914000,0.54205,2019-09-27T23:55:44.032739,9065631,0.06326,69.23,72.2,67.85,71.97,242836100,652131225
9063941,Dash,0.034352,0.076338,-0.0121,4918000,0.54259,2019-09-26T23:53:03.146471,9063941,0.06331,73.12,73.63,67.15,69.19,209364896,626812674
9062214,Dash,0.034309,0.076241,-0.01211,4919000,0.5428,2019-09-25T23:53:01.485267,9062214,0.06321,72.72,76.17,70.01,73.09,281828717,662008601
9060515,Dash,0.034328,0.076284,-0.01251,4951000,0.54644,2019-09-24T23:52:52.430556,9060515,0.06282,87.4,88.5,70.88,72.9,261957987,660151235
9042642,Dash,0.034375,0.076389,-0.01275,4960000,0.54851,2019-09-14T12:00:52.785459,9042642,0.06267,93.28,94.6,90.74,91.52,253643873,827271734
9040918,Dash,0.03437,0.076377,-0.01278,4962000,0.54884,2019-09-13T12:00:21.115162,9040918,0.06262,85.28,94.27,85.11,93.27,235816614,842847025
9039244,Dash,0.034408,0.076462,-0.01277,4959000,0.54861,2019-09-12T12:00:14.628786,9039244,0.06272,82.8,90.79,81.99,85.29,238978713,770648577
9037520,Dash,0.034378,0.076397,-0.01278,4960000,0.54882,2019-09-11T12:00:14.435616,9037520,0.06264,83.85,85.34,82.34,82.8,173750574,747991225
9035827,Dash,0.034387,0.076415,-0.01288,4967000,0.5497,2019-09-10T12:00:16.903623,9035827,0.06256,87.11,87.78,82.98,83.83,164513699,757159326
9034127,Dash,0.034427,0.076504,-0.0129,4967000,0.5498,2019-09-09T12:00:20.577436,9034127,0.06262,87.8,89.02,85.93,87.13,184918831,786844141
9032409,Dash,0.034417,0.076481,-0.01291,4967000,0.54991,2019-09-08T12:00:14.221277,9032409,0.06259,84.28,87.86,84.13,87.75,170509823,792223214
9030722,Dash,0.034468,0.076594,-0.0129,4964000,0.54968,2019-09-07T12:00:10.615565,9030722,0.0627,80.37,84.45,80.29,84.25,186581412,760557889
9029029,Dash,0.034441,0.076535,-0.01294,4967000,0.55011,2019-09-06T12:00:18.793425,9029029,0.06261,80.58,83.13,78.57,80.35,212197139,725219112
9027327,Dash,0.034451,0.076559,-0.01258,4935000,0.54667,2019-09-05T12:00:19.214051,9027327,0.06302,81.23,82.11,80.4,80.57,180982478,726989061
9023906,Dash,0.03445,0.076556,-0.01253,4929000,0.54622,2019-09-03T12:00:35.325211,9023906,0.06307,81.64,83.96,80.36,82.95,192725799,748237440
9022204,Dash,0.034452,0.07656,-0.01249,4925000,0.54588,2019-09-02T12:00:27.443588,9022204,0.06311,79.98,83.23,79.93,81.61,195249831,735948934
9020517,Dash,0.034496,0.076658,-0.01248,4922000,0.54564,2019-09-01T12:00:18.198592,9020517,0.06322,80.21,81.04,78.8,80.07,149634077,721956273
9013257,Dash,0.034559,0.076798,-0.01257,4924000,0.54631,2019-08-31T12:00:12.828884,9013257,0.06326,80.55,81.01,78.79,80.19,206431548,722882315
9011772,Dash,0.034546,0.07677,-0.01253,4920000,0.54595,2019-08-30T14:58:28.879721,9011772,0.06328,80.25,82.07,79.47,80.58,157841920,725837019
9006444,Dash,0.034543,0.076761,-0.01238,4905000,0.54461,2019-08-27T12:00:14.317110,9006444,0.06343,92.35,92.74,90.2,90.7,125590276,816566032
9003033,Dash,0.034542,0.07676,-0.01235,4900000,0.54426,2019-08-25T12:00:12.912835,9003033,0.06347,92.35,92.99,90.9,91.43,148936751,822765308
9001340,Dash,0.034586,0.076857,-0.01235,4898000,0.54414,2019-08-24T12:00:17.343836,9001340,0.06356,93.71,93.96,90.34,92.38,145816130,831218616
8999622,Dash,0.03457,0.076821,-0.01234,4897000,0.54413,2019-08-23T12:00:10.444290,8999622,0.06353,91.25,95.23,90.32,93.73,225009605,843219319
8997904,Dash,0.034526,0.076724,-0.01213,4880000,0.54235,2019-08-22T12:00:14.048974,8997904,0.06366,89.86,92.4,87.97,91.24,245507277,820594475
8996211,Dash,0.034592,0.07687,-0.01232,4893000,0.5439,2019-08-21T12:00:15.462966,8996211,0.0636,93.96,93.96,87.28,90.23,175275582,811348926
8994530,Dash,0.03462,0.076932,-0.01217,4879000,0.54244,2019-08-20T12:00:11.905252,8994530,0.06382,98.13,98.19,93.35,93.94,152098244,844604955
8992806,Dash,0.034575,0.076833,-0.01209,4872000,0.54177,2019-08-19T12:00:25.645953,8992806,0.06382,95.13,98.11,94.27,98.11,138241467,881946323
8991094,Dash,0.034547,0.07677,-0.0122,4881000,0.54287,2019-08-18T12:00:13.032340,8991094,0.06364,92.75,96.63,91.76,95.11,130360202,854767039
8989401,Dash,0.034626,0.076947,-0.01216,4875000,0.5423,2019-08-17T12:00:11.609632,8989401,0.06385,94.23,94.4,91.31,92.74,126384743,833294378
8987705,Dash,0.034606,0.076901,-0.01229,4885000,0.54352,2019-08-16T12:00:12.701652,8987705,0.06367,95.22,95.54,92.07,94.24,153973787,846627669
8986005,Dash,0.034627,0.076949,-0.01228,4883000,0.5434,2019-08-15T12:00:10.339957,8986005,0.06372,95.62,96.92,92.35,95.18,203677926,854959202
8984300,Dash,0.034672,0.077049,-0.01225,4878000,0.54295,2019-08-14T12:00:14.174914,8984300,0.06386,101.44,102.31,95.52,95.52,193825014,857808290
8982604,Dash,0.034672,0.077048,-0.01207,4863000,0.54138,2019-08-13T12:00:10.431921,8982604,0.06404,104.51,106.73,101.08,101.44,203406782,910823491
8980886,Dash,0.034682,0.07707,-0.01195,4852000,0.54026,2019-08-12T12:00:17.572278,8980886,0.06419,106.91,106.91,102.83,104.96,164675849,942219501
8979177,Dash,0.034639,0.076977,-0.01217,4870000,0.54237,2019-08-11T12:00:15.562789,8979177,0.06387,99.43,108.71,99.29,106.92,224599771,959670387
8977484,Dash,0.034677,0.077061,-0.0122,4870000,0.54247,2019-08-10T12:00:11.234864,8977484,0.06393,103.53,104.51,98,99.41,209200269,892091552
8975781,Dash,0.034657,0.077016,-0.01267,4909000,0.54692,2019-08-09T12:05:30.450238,8975781,0.06337,105.39,105.53,102.96,103.57,200936269,929193681
8974060,Dash,0.034681,0.07707,-0.01294,4930000,0.54936,2019-08-08T12:00:15.170839,8974060,0.06313,107.62,107.85,103.77,105.33,211407418,944886676
8972380,Dash,0.034758,0.07724,-0.01305,4936000,0.55013,2019-08-07T12:00:15.278843,8972380,0.06318,106.94,110.06,106.33,107.68,187404291,965726788
8970652,Dash,0.034705,0.077123,-0.01292,4926000,0.54912,2019-08-06T12:00:09.549675,8970652,0.0632,111.81,112.35,104.28,106.91,171131524,958653277
8968956,Dash,0.03472,0.077156,-0.01294,4926000,0.54923,2019-08-05T12:00:11.700040,8968956,0.06322,107.23,113.59,107.14,111.21,170830744,997065751
8967266,Dash,0.034727,0.077172,-0.0126,4896000,0.54599,2019-08-04T12:00:13.554387,8967266,0.0636,107.43,108.3,104.35,107.2,150889264,960930852
8963849,Dash,0.03471,0.077133,-0.01231,4871000,0.5434,2019-08-02T12:00:08.925251,8963849,0.06387,107.79,109.51,105.2,105.52,219195431,945485901
8962137,Dash,0.034685,0.077077,-0.0123,4870000,0.5434,2019-08-01T12:00:10.730490,8962137,0.06383,109.28,109.36,105.44,107.79,163095470,965605793
8954801,Dash,0.03477,0.077266,-0.01249,4879000,0.54485,2019-07-31T12:00:15.263057,8954801,0.06382,105.45,109.2,105.28,109.2,169370085,977419290
8953096,Dash,0.034797,0.077328,-0.01254,4882000,0.54529,2019-07-30T12:00:13.823152,8953096,0.06382,105.99,107.84,104.2,105.52,162697638,944320202
8951384,Dash,0.034774,0.077276,-0.01257,4884000,0.54561,2019-07-29T12:00:15.578772,8951384,0.06373,108.36,109.18,105.04,105.98,329780599,948316015
8949691,Dash,0.034825,0.077388,-0.01256,4881000,0.54538,2019-07-28T12:00:10.550903,8949691,0.06385,110.52,112.07,103.75,108.39,318393082,969657236
8947970,Dash,0.034769,0.077263,-0.01258,4883000,0.54571,2019-07-27T12:00:19.484242,8947970,0.06371,115.4,117.18,108.97,110.51,311051445,988407523
